x,c
2.36867186983865,"[[ 2.53404816 -0.89497858]
 [-0.89497858  0.78453957]]"
4.214537537874715,"[[ 1.37982642 -0.32874246]
 [-0.32874246  0.50654233]]"
6.157356041064527,"[[ 1.00970474 -0.08240609]
 [-0.08240609  0.34243481]]"
8.268859741419995,"[[ 0.93655551 -0.00913712]
 [-0.00913712  0.26885889]]"
10.609102889341502,"[[ 9.33230870e-01 -3.00850458e-04]
 [-3.00850458e-04  2.44405549e-01]]"
13.118676503882382,"[[ 0.92980351 -0.00441848]
 [-0.00441848  0.23923766]]"
15.596652746698654,"[[ 0.91926473 -0.0061998 ]
 [-0.0061998   0.23891966]]"
17.8841282663672,"[[ 0.90817155 -0.00493063]
 [-0.00493063  0.23877068]]"
19.905793832156085,"[[ 0.90056102 -0.00282576]
 [-0.00282576  0.23818723]]"
21.57698490135291,"[[ 0.89666707 -0.00123152]
 [-0.00123152  0.23753393]]"
22.85490253360381,"[[ 8.95156759e-01 -3.94774067e-04]
 [-3.94774067e-04  2.37069991e-01]]"
23.81152024142204,"[[ 8.94745034e-01 -7.79700920e-05]
 [-7.79700920e-05  2.36825913e-01]]"
24.594274665637702,"[[ 8.94687917e-01 -3.53226077e-06]
 [-3.53226077e-06  2.36728373e-01]]"
25.3749971817598,"[[ 8.94687660e-01 -3.66901262e-06]
 [-3.66901262e-06  2.36700595e-01]]"
26.31133869020166,"[[ 8.94673801e-01 -1.12590960e-05]
 [-1.12590960e-05  2.36696317e-01]]"
27.488657006823548,"[[ 8.94650706e-01 -1.18448134e-05]
 [-1.18448134e-05  2.36696285e-01]]"
28.904441910166444,"[[ 8.94630913e-01 -8.12357857e-06]
 [-8.12357857e-06  2.36695581e-01]]"
30.531358016263294,"[[ 8.94618964e-01 -4.15534697e-06]
 [-4.15534697e-06  2.36694261e-01]]"
32.350477492935305,"[[ 8.94613494e-01 -1.61121526e-06]
 [-1.61121526e-06  2.36693077e-01]]"
34.28384378614143,"[[ 8.94611628e-01 -4.39049446e-07]
 [-4.39049446e-07  2.36692340e-01]]"
36.141546225086486,"[[ 8.94611214e-01 -6.08149018e-08]
 [-6.08149021e-08  2.36691993e-01]]"
37.73852684530467,"[[8.94611184e-01 1.70030323e-10]
 [1.70030323e-10 2.36691871e-01]]"
39.03180976036198,"[[ 8.94611179e-01 -1.27830304e-08]
 [-1.27830304e-08  2.36691844e-01]]"
40.116983905090855,"[[ 8.94611147e-01 -1.86654325e-08]
 [-1.86654324e-08  2.36691843e-01]]"
41.201516817874726,"[[ 8.94611120e-01 -7.95425514e-09]
 [-7.95425514e-09  2.36691846e-01]]"
42.52435786437621,"[[8.94611121e-01 9.18230691e-09]
 [9.18230714e-09 2.36691846e-01]]"
44.18890983103742,"[[8.94611151e-01 1.99339549e-08]
 [1.99339548e-08 2.36691844e-01]]"
46.10668405397737,"[[8.94611184e-01 1.36771253e-08]
 [1.36771254e-08 2.36691844e-01]]"
48.11935506556264,"[[ 8.94611191e-01 -4.18259094e-10]
 [-4.18258872e-10  2.36691872e-01]]"
50.06827816119106,"[[8.94611219e-01 6.01918505e-08]
 [6.01918505e-08 2.36691997e-01]]"
51.79165979133021,"[[8.94611636e-01 4.45984618e-07]
 [4.45984618e-07 2.36692353e-01]]"
53.22908607987348,"[[8.94613543e-01 1.65115266e-06]
 [1.65115266e-06 2.36693115e-01]]"
54.45197015667666,"[[8.94619168e-01 4.28143110e-06]
 [4.28143110e-06 2.36694345e-01]]"
55.54253765524923,"[[8.94631513e-01 8.40878683e-06]
 [8.40878683e-06 2.36695725e-01]]"
56.578128754722925,"[[8.94652060e-01 1.23244022e-05]
 [1.23244022e-05 2.36696471e-01]]"
57.640350477707145,"[[8.94676189e-01 1.18077924e-05]
 [1.18077924e-05 2.36696482e-01]]"
58.69050301770913,"[[8.94690844e-01 3.91074376e-06]
 [3.91074376e-06 2.36700738e-01]]"
59.59823853703727,"[[8.94690863e-01 3.17157600e-06]
 [3.17157600e-06 2.36728989e-01]]"
60.35546522248046,"[[8.94747400e-01 7.83709844e-05]
 [7.83709844e-05 2.36829012e-01]]"
61.132230392853096,"[[8.95165633e-01 4.02763225e-04]
 [4.02763225e-04 2.37080619e-01]]"
62.098885839352945,"[[0.89671339 0.00126511]
 [0.00126511 0.23756108]]"
63.27166034522985,"[[0.90072551 0.00291706]
 [0.00291706 0.23824126]]"
64.52588787093178,"[[0.90860326 0.00511384]
 [0.00511384 0.23885385]]"
65.74014512338688,"[[0.92014567 0.0064683 ]
 [0.0064683  0.23901279]]"
66.9045885446823,"[[0.93119815 0.00465829]
 [0.00465829 0.23930921]]"
68.05920083472333,"[[9.34851374e-01 2.96736998e-04]
 [2.96736998e-04 2.44516431e-01]]"
69.24510501758192,"[[0.9378379  0.00893243]
 [0.00893243 0.26948702]]"
70.46926791543771,"[[1.01136504 0.08350079]
 [0.08350079 0.34511132]]"
71.70234486247611,"[[1.38898024 0.33648689]
 [0.33648689 0.51460124]]"
72.93819765839042,"[[2.57468406 0.9213363 ]
 [0.9213363  0.80307871]]"
